,Month,Sales
0,2001-01,266.0
1,2001-02,145.9
2,2001-03,183.1
3,2001-04,119.3
4,2001-05,180.3
5,2001-06,168.5
6,2001-07,231.8
7,2001-08,224.5
8,2001-09,192.8
9,2001-10,122.9
10,2001-11,336.5
11,2001-12,185.9
12,2002-01,194.3
13,2002-02,149.5
14,2002-03,210.1
15,2002-04,273.3
16,2002-05,191.4
17,2002-06,287.0
18,2002-07,226.0
19,2002-08,303.6
20,2002-09,289.9
21,2002-10,421.6
22,2002-11,264.5
23,2002-12,342.3
24,2003-01,339.7
25,2003-02,440.4
26,2003-03,315.9
27,2003-04,439.3
28,2003-05,401.3
29,2003-06,437.4
30,2003-07,575.5
31,2003-08,407.6
32,2003-09,682.0
33,2003-10,475.3
34,2003-11,581.3
35,2003-12,646.9
